"R934","R933","R935","R1064","R1067","R938","R330","R331","R345","R325","R326","R327","R325","R334","R340","Location_of_near-infrared_absorption_valleys(nm)","area_of_red_border","Red_Edge_Amplitude","Red_Edge_Position(nm)","absorption_width(nm)","area_of_red_border","D1-range","D1-Variance","D9-50th_percentile","Cd"
0.67495865,0.66933442,0.67111575,-0.00832385,0.02402787,-0.00972078,0.02476204,0.02633431,0.02097699,-1.22579648,-0.85382110,-0.85916678,3.38231193,3.69549815,3.58103713,971.0,21.07365887,0.01710478,760.0,204.0,21.07365887,10.35026603,26.78200171,-0.00029679,0.14400000
0.67703044,0.66642728,0.67881981,-0.01621237,0.04058810,-0.00488383,0.02439281,0.02523778,0.02160776,-1.24722768,-0.86325027,-0.86415021,3.63946280,3.75668137,3.61645704,971.0,20.56256578,0.01609214,760.0,207.0,20.56256578,10.53371768,27.73980203,-0.00039172,0.14800000
0.67473516,0.66825783,0.66984799,-0.00798666,0.02443939,-0.00950090,0.02344732,0.02579861,0.01972021,-1.22647863,-0.85546193,-0.85934512,3.41192971,3.70226568,3.62682408,971.0,20.98929834,0.01641900,760.0,206.0,20.98929834,10.34829976,26.77182697,-0.00036709,0.15800000
0.66094800,0.65975376,0.65026245,0.00015179,0.00692675,-0.01427878,0.02342467,0.02678411,0.01896956,-1.18418122,-0.82978513,-0.83852812,3.23044145,3.65806277,3.60776520,971.0,21.13925202,0.01652986,760.0,207.0,21.13925202,9.98153515,24.90776101,-0.00037061,0.16400000
0.65160660,0.64659551,0.65056735,0.00344741,-0.00270760,-0.00461270,0.02002193,0.02123538,0.01241753,-1.21976022,-0.85312185,-0.85180251,3.53397468,3.96914712,3.96118892,971.0,19.89813425,0.01788536,760.0,207.0,19.89813425,10.23634921,26.19571126,-0.00033644,0.16500000
0.63226487,0.62221242,0.63993976,0.00754548,-0.01322033,0.00397356,0.01804116,0.01678013,0.00682347,-1.23263379,-0.86047428,-0.85008288,3.97187129,4.43395546,4.43672333,971.0,18.38786938,0.01880882,760.0,207.0,18.38786938,10.30571852,26.55195853,-0.00029862,0.19400000
0.60127729,0.59492267,0.60395317,-0.00265087,-0.01097183,-0.00351605,0.01554932,0.01484786,0.00839640,-1.16289644,-0.82009608,-0.81416935,3.89034111,4.46860843,4.56716877,971.0,17.75410620,0.01635588,760.0,207.0,17.75410620,9.87098793,24.35910069,-0.00025237,0.19700000
0.59164224,0.58952275,0.59521839,0.00518417,0.00992371,0.00428946,0.02051303,0.02173839,0.01250183,-1.15567691,-0.81255595,-0.81232726,3.45392738,4.06466806,4.19337117,971.0,20.24438292,0.01429088,760.0,207.0,20.24438292,9.56766634,22.88505979,-0.00026129,0.31900000
0.62801372,0.62659233,0.62346500,-0.00638471,-0.01060776,-0.00663429,0.01860448,0.01922100,0.01270076,-1.13429067,-0.79748957,-0.80299436,3.44053474,3.97719422,4.21994981,971.0,20.02192988,0.02044857,760.0,208.0,20.02192988,9.60285107,23.05368719,-0.00029404,0.33500000
0.51065792,0.50980878,0.50890159,-0.01150893,-0.01009446,-0.01012193,0.01158493,0.01135094,0.00848821,-0.98040954,-0.69974374,-0.69950819,3.89033486,4.58241624,4.81602884,971.0,15.35921681,0.01099465,760.0,205.0,15.35921681,8.48469565,17.99751506,-0.00017337,0.39200000
0.61063003,0.60053625,0.60891004,0.00801892,0.01525018,-0.01257351,0.02654038,0.01979367,0.01464150,-1.09078875,-0.76085266,-0.76358378,3.61972109,4.05449937,4.23435811,971.0,18.17818773,0.02187664,760.0,205.0,18.17818773,9.15400667,20.94895952,-0.00023629,0.41600000
0.58194778,0.57696120,0.59502997,-0.02485814,0.02951174,-0.01256032,0.01697949,0.01879919,0.01265797,-1.04283735,-0.75118459,-0.75064487,3.62029900,3.94652870,4.26423002,971.0,17.59872856,0.01914781,760.0,206.0,17.59872856,9.21774569,21.24170888,-0.00028012,0.46900000
0.61907069,0.60650896,0.62704835,0.01003730,-0.00770698,-0.03449331,0.02297363,0.02308567,0.01746305,-1.20185372,-0.85164814,-0.85144703,3.57195776,3.79772627,4.24243026,971.0,19.68378422,0.01605521,760.0,207.0,19.68378422,10.16729954,25.84349499,-0.00021636,0.51600000
